post,background
"DELL Technologies - gives n number of platforms for employees to develop their Tech, Leadership skills. Outside of your day to day work, its very refreshing to connect with great minds and experts via various platforms and initiatives.    There is one amazing platform - AI Academy which is very collaborative that brings together the best AI perspectives from across all business groups, and evangelizes AI/ML to the broader community via collaboration through the design, development and sharing of AI/ML use cases.    AI Academy focuses on developing a AI community via Self-Learning, Advanced Learning / Trainings, AI/ML Projects – Practitioners, AI/ML Awareness – Tech Talks, Hackathons, Knowledge Sharing, Meetups.     It was an exciting journey as a Program Manager, AI Evangelist with IIF ( India Innovation Forum ) driving the AI Academy Initiatives.  Incredible experience setting up a 1000 user platform, working with world class leaders, AI enthusiasts.    Excited to share the certificate here. Thank you India Innovation Forum and AI Academy! Thank you Anup Pandey      May AI Academy and all the AI Enthusiasts make a great difference and wish you all great success !",Transformation | People | Programs | Products | Agile Leadership | D&I | NLP Coach |
"DELL HACK2HIRE    Assalamualaikum & salam sejahtera kepada warga #connection 👋🏻    Pertama sekali saya ingin meluahkan rasa syukur kerana terpilih sebagai salah seorang yang bakal menjalani praktikum bersama tahun hadapan (semester 7). Terima kasih kepada dan juga Khansa kerana tanpa anda kumpulan kita tidak mungkin akan menyelesaikan masalah bersama. Saya agak sedih kerana mereka tidak turut terpilih bersama saya tapi saya yakin lebih banyak peluang pada masa akan datang. Banyak pengalaman dan input sepanjang 2 hari pertandingan ini berlangsung dan bagi saya itu adalah antara perkara yang bermakna bagi seorang yang bergelar mahasiswa.    Tidak lupa juga kepada saudari , terima kasih atas perkongsian anda berkaitan Dell Hack2Hire dan juga sokongan yang diberikan. Beliau antara individu yang banyak memberi inspirasi di LinkedIn dalam bidang Informasi Teknologi dan Komputer Sains. Insya-Allah kita akan bertemu pada tahun hadapan 😄    Terima kasih yang tak terhingga kepada Puan dan kepada semua mentor Dell program Hack2Hire. Banyak peluang dan ilmu diperoleh melalui LinkedIn dan ternyata medium ini seharusnya diberi pendedahan dengan lebih luas kepada mahasiswa yang akan bergelar graduan kelak. Bersama-sama kita mengutip sebanyak yang boleh pengalaman agar dapat manfaatkannya pada masa akan datang.",Software Engineer Intern at Dell Technologies
"Finally my first application(JobsOff) is available on Google Play store ,  when you will search (hatcodian) on Playstore it will be displayed on top .  Using this application One can visit official career sites of the company and see the suitable job openings for them ,In this there is no middle man, user will visit official sites so no chance of any fraud..    Most of the time we don't like going on chrome and searching official sites and visiting them using JobsOff we can visit on one click...    I mentioned some coding platform which can be used for seeing the hackathon and coding challenges and it will help in participating them...    there are various application its depend on us how we are going to use it ..    JobsOff size is 6.6 mb ,You can install it and check it ,link is available in comment section          For any suggestion Please fill free contact me  #  #adobe#hackereath#hackerank#  #accenture#atlassian#apple  #bharatpe#cognizant      #pwc#saleforce #twitter#wipro",COMPETATIVE PROGRAMMER ||UX/UI designer|| ANDROID DEVELOPER|| FRONTED WEB DEVELOPER||WRITER FIRST ANTHALOGY BOOK 📚 (ART AND EFFECT) ||YOUTUBER||⭐TEACHER||JAVA>>C>C++>Python||pursuing DSA
"Recientemente tuve el honor de hacer entrega de los premios de la Hackathon 2021 junto al coordinador de la Facultad de Ingeniería de Sistemas Computacionales, Nicholas Béliz Osorio para culminar este bonito evento.     Organizar este evento con mi grupo fue una experiencia inolvidable.     Tuvimos la oportunidad de presentarlo frente a personas que admiro en para su patrocinio y vaya sorpresa nos apoyaron en todo.    Pudimos reunir a más de 100 estudiantes para competir en torno al desarrollo de la educación en áreas remotas y poner a prueba los conocimientos que son adquiridos en los salones de clase.    Cada año estamos haciendo este evento y ya hace parte de nuestra cultura en EURUS. Conectar a profesionales con estudiantes y crear proyectos de impacto nos inspira cada año a seguir haciéndolo mejor.    No tengo palabras para agradecer a tantas personas por el apoyo brindado, , , , , y tantas otras que no me alcanza la lista, pero en especial a porque siempre estuvo desde el inicio.",Vicepresidente en Grupo Eurus UTP
Ci sono due ragazzi italiani che insieme vogliono fare la storia del tennis italiano qualificandosi per la prima volta agli #atpfinals a novembre a Torino 🎾Nello stesso momento a Torino RISORSE SPA e CIM4.0 stanno cercando studenti che si trasformino in giovani innovatori affrontando la Challenge di Smart&Hack riservata agli Universitari e agli ITs 💪regolamento su  Perché questo confronto fra l’evento di tennis più importante del mondo e l’Hackathon?  I vincitori della Challenge di Risorse saranno ospiti per le semifinali un’intera giornata a Torino vivendo gli ATP Final da dietro le quinte 😀  Ieri abbiamo fatto la conferenza stampa di con l’incredibile partecipazione di firma “tech” di che ha analizzato assieme al padrone di casa le macro tendenze dell’innovazione e il ruolo dei giovani oggi che per diventare assoluti protagonisti devono sviluppare oltre le Skill tecniche e soft anche allenare il delle loro cercando di fare Team con il mondo del come questo consente di 👍  Un Grazie ai super relatori che hanno partecipato e con la sapiente regia di  Adesso tocca solo a voi 💡4 e 5 novembre vi Aspettiamo,Human Innovator
"Il #FaterAward è anche questo; condivisione, confronto e lavoro in #team multifunzionali per creare un progetto innovativo e sostenibile!🍀  Nel corso dell'#hackathon, tenutosi presso il Fater Business Campus a Pescara, I 30 finalisti del  hanno collaborato fianco a fianco con colleghi provenienti da background accademici differenti, hanno incontrato manager e senior manager di diversi dipartimenti e si sono confrontati con loro sulla soluzione dei casi, analisi dei dati e fattibilità tecnica dei progetti. 🎯  Grazie a tutti i  Mentors per la disponibilità e l’entusiasmo nel guidare i ragazzi in questa esperienza! 🚀     , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   ","45,919 followers"
"La scorsa settimana siamo stati Main Sponsor dell’evento #hackher_, un hackathon in cui ragazze delle scuole superiori si sono messe in gioco nella realizzazione di un progetto innovativo sotto la guida di donne role models appartenenti al mondo IT.    Promuovere interesse e competenze delle donne in ambito STEM è un aspetto chiave non solo per raggiungere la gender equality, ma anche per creare innovazione e cambiamento, dentro e fuori l’organizzazione.    Per questo in Generali Italia continuiamo a offrire borse di studio, corsi di formazione, masterclass per sensibilizzare le ragazze sulle attuali opportunità in ambito STEM e i principi di equità di genere sono ormai divenuti parte integrante di tutti i nostri processi organizzativi. Circa il 50% dei nostri nuovi ingressi è donna, ha un background STEM e ricopre ruoli tecnici e fortemente digitali.    Per creare grandi cambiamenti serve un impegno concreto e quotidiano. Noi ci siamo.",Country General Manager at Generali Italia
"A few weeks ago, I had the honor of representing Rutgers University - Newark alongside a team of powerhouse women: Laurie Zegarra, Tonanziht Aguas, Caroline Molina, and Fiorella MontesDeOca at the HSI Battle of the Brains Competition in Austin, Texas.     The week-long event was filled with enthusiasm, challenges, and inspiration. I had the opportunity to connect with so many talented students from across the U.S., network with professionals, and learn from conversations about identity, its role in the workplace, and navigating success. This was also my first time competing in a 24 hour hackathon. Working with my team, I leveraged my critical thinking skills and background to support them. My teammates made the competition all the better, and they brought their best to every deliverable. The whole experience taught me to value my contributions as a Latina and as a woman. It reminded me that my experiences are unique, and with it and because of it, I am capable of solving large-scale problems.     I want to give a huge thank you to , , and for making this possible. A shout out to all the sponsors , , , , ,, . A very special thank you to our advisor who guided, educated, and encouraged us. And to the Rutgers Newark leaders that made it possible to attend such a powerful program!",Business Consultant at EY
"A Proud moment for AKGEC in SIH 2022 again as the 5 teams (BLOCKRIDGE, IDEAL-BITS, Blazes (Joint Winner), Supa-Solvers (Joint Winner) and Swasthya Vardhak (Joint Winner), comprising 30 students were announced as the winners of Smart India Hackathon-2022 (Software Edition) at Guwahati, Bangalore, and Coimbatore. The winners of each problem statement awarded by prize amount of Rs 1 lakh.     For the SIH 2022 grand finale, 14 teams for both software and hardware edition were selected from AKGEC, i.e., the highest number of teams selected from any public or private university/Institute in UP and the top 10 institutes in India.     From AKGEC, Team Ideal Bits under developed an application to facilitate IPR filing for the grassroots community and Team Blazes under provided a solution to develop a platform to support the One District One Product (ODOP) initiative. These problem statements were given under Startup India Section by the department for the promotion of industry and internal trade (DPIT), Ministry of Commerce and Industry.     Team Swasthyavardhak under Garima Saroj developed a software application for interpreting doctor's notes using handwriting recognition and deep learning techniques; Dell Technologies, Bangalore, India, gave this problem. Team Supasolvers under developed a system electronically for detecting occupancy of beds in Hospitals. This problem statement was given by the Government of Rajasthan. Team Blockridge under developed an application for accessing visual information (written information) by persons with visual disabilities. This problem was given by the Department of Empowerment of Persons with Disabilities (Divyangjan), Ministry of Social Justice and Empowerment    , Director General, encouraged AKGEC Institute Innovation cell to continue the excellent work towards Innovation and entrepreneurship and encouraged all the students to work smartly on finding innovative solutions to the problems that are relevant to society.                  #  #     ","14,231 followers"
"Oggi, nella nostra sede di Brescia, si è celebrata la giornata conclusiva della terza edizione del progetto Da Vinci 4.0, focalizzato sulle questioni della sostenibilità ambientale e del contrasto al cambiamento climatico. Un vero e proprio hackathon durante il quale gli studenti hanno presentato alla giuria i prototipi sviluppati in cinque mesi di lavoro attorno ai temi della , dell’, della e dell’.    Un’esperienza formativa che ha portato la scuola fuori dalla scuola e l'ha fatta entrare con entusiasmo all’interno delle aziende.    ---    This morning the final hackathon of the third edition of Da Vinci 4.0, focused on issues of environmental sustainability and climate change, was held in our headquarter in Brescia. The students presented to a panel of judges the prototypes they had developed in the last five months of hard work. Topics of the projects were: , , and .    It has been a real full experience that allow the students to practice their skills outside the school and within the companies.","9,043 followers"
"Ieri abbiamo dato il via al primo Hackathon in assoluto sulle sfide dell'Olimpismo e delle Olimpiadi Invernali, con un particolare riferimento sulle prossime di Milano Cortina 2026: #GiveMeFive    Ci aspettano tre giorni all'insegna del lavoro sul futuro delle Olimpiadi e della comunicazione degli eventi globali. Soluzioni che creino proposte innovative per il settore sportivo in grado di fare da guida del cambiamento sociale e ambientale.    Durante i lavori, anche un in bocca al lupo speciale!✨",DD Government Administration and Politics Luiss - ULB | Education Programming Team at Italy Expo 2020
"Com o sono mais em dia, vou finalmente celebrar por aqui o 1º lugar no Hackathon Tech Recruiter People realizado pela Blusoft, uma maratona voltada para o desenvolvimento de soluções para os setores de recrutamento.    Nossa solução foi criada para a retenção de pessoas no mercado de trabalho, uma dor de muitas empresas atualmente. Pensamos em uma plataforma para identificar de forma individualizada o desengajamento dos colaboradores e, desta forma, possibilitar planos e ações mais assertivos.    Foram 24 equipes, 8 projetos selecionados para o pitch (apresentação) e as 24 horas mais intensas que alguém pode viver. De presente, além dos R$ 10 mil, recebemos a melhor nota de apresentação. Me senti orgulhosa demais desse resultado.    Agradeço a todos os mentores que seguraram nossa mão, abriram nossa mente e acreditaram nessa solução. Vocês foram fundamentais. Ao nosso time, composto pelo , , , e . Sei que cada um contribuiu com seu melhor e estou muito feliz com tudo o que fizemos.    Parabenizo a todas as equipes pelo seu desenvolvimento, em especial aos alunos e ex-alunos que encontrei por lá. Obrigada , patrocinadores e apoiadores. O evento foi uma experiência incrível! Muito networking, conhecimento. Sem dúvida, um fomento importante para inovação na nossa região.","Publicitária, empreendedora, professora. Apaixonada por comunicação!"
"🌟 L'articolo dell' L'Unione Sarda S.p.A. sulla finale dell'#hackathon che ha visto protagoniste 5 scuole della Sardegna in una sfida senza esclusione di idee vinta dall’Istituto Nautico di Tortolì, con l’imbracatura intelligente per prevenire gli infortuni sul lavoro.    ⬇️ Leggi qui:",786 followers
"RARE DISEASE HACKATHON: la Call per soluzioni innovative capaci di migliorare la qualità della vita delle persone con malattia rara, in palio premi fino a 5.000 euro.",567 followers
"#JoinTheChallenge #iDays #InnovationDays #Hackathon    🗓️ Posticipata la data di chiusura per l'invio delle candidature dell'hackathon di : c'è tempo fino al 20 ottobre per candidare il proprio team o inviare una candidatura individuale per l'hackathon che si svolgerà dal 2 al 4 novembre 2022 presso , organizzato in collaborazione con e .    🔵 In palio ci sono premi, mentor di profilo internazionale e un'esperienza indimenticabile con altri giovani di talento per creare un progetto di innovazione digitale sull'utilizzo dei dati sanitari a vantaggio del benessere e della salute, nell'ambito degli Innovation Days di .    🔗Per informazioni e iscrizioni:","14,309 followers"
"🔬📣A tutti gli studenti universitari e dottorandi pugliesi interessati all’economia circolare. Il 3 e 4 ottobre, negli stessi giorni dell’evento Re-think circular economy Forum, ci sarà un hackathon con quattro diverse challenge, sviluppato in collaborazione con EniJoule.    🍇Vitivinicoltura rigenerativa e circolare con  💻 Porti smart e digitali con  🚢 Blue economy e porti sostenibili con  🐢 Protezione degli ecosistemi marini con    Il team vincitore riceverà un voucher del valore di € 2.000,00 con altre premialità che potranno essere offerte dalle aziende promotrici delle challenge    👉 Ci sarà un webinar di presentazione il 15 settembre online, registratevi:    Oppure candidatevi all’hackathon utilizzando il form dedicato     ","5,538 followers"
"Os últimos dias (08 e 09/04) foram intensos, exigiriam de mim muitas horas de sono, esforço e concentração. Foi loucuraaa! 😱😝    Tive a alegria de participar do 1° promovido pela . Foram 24 horas de mão na massa (isso mesmo, 24h direto sem dormir), na busca por desenvolver um projeto inovador, para atrair, capacitar, reter e desenvolver continuamente talentos dentro das organizações!    Focamos na resolução de um problema voltado para Capacitação de Pessoas. Propomos o de uma plataforma no , onde o usuário viveria uma experiência teórico/prática, interagindo com demais usuários, adquirindo conhecimento num ambiente controlado e seguro.    Vivenciei esse desafio ao lado de um time fera, composto pela , , , e . Ao final do evento, levamos pra casa o terceiro lugar, horas de sono em atraso, e a gratidão por ter feito parte de algo tão incrível! 🚀💙    , , , , , , , , , , , , Obrigado por nos proporcional essa experiência sensacional! 🚀💚",Gestão de Pessoas | Talent Acquisition | Psicólogo
"In occasione dell'#InternationalGirslDay, Deloitte ha organizzato la seconda edizione europea del Girls Takeover, hackathon virtuale di design thinking completamente al femminile, in cui ragazze con diversi background, interessi e nazionalità si sono riunite con un obiettivo: risolvere una reale sfida di business proposta da importanti clienti.  Ancora una volta la forza del lavoro di squadra, l’energia e l’entusiasmo dei più giovani hanno portato alla creazione di idee che potrebbero diventare prodotti e servizi reali sul mercato. Ancora una volta la possibilità di far esprimere il proprio talento ha portato a risultati di valore.     Vi invito a conoscere alcune delle vincitrici di quest’anno ➡     Thanks to all the DCM facilitators!",DCM Consulting People&Purpose Leader | Finance Transformation | One SAP Talent Leader
"📢 𝗜𝗡𝗖𝗢𝗡𝗧𝗥𝗔 𝗜 𝗡𝗢𝗦𝗧𝗥𝗜 𝗘𝗦𝗣𝗘𝗥𝗧𝗜 | 𝟰° 𝗖𝗔𝗦𝗦𝗜𝗡𝗜 𝗛𝗔𝗖𝗞𝗔𝗧𝗛𝗢𝗡 🔥 | 𝗟𝗔𝗡𝗖𝗜𝗔 𝗟𝗔 𝗧𝗨𝗔 𝗖𝗔𝗥𝗥𝗜𝗘𝗥𝗔 𝗡𝗘𝗟 𝗡𝗘𝗪 𝗦𝗣𝗔𝗖𝗘 🚀    ❓💡 Siete interessati ai dell'UE? Volete rendere la e il mondo più ? La , in qualità di Ambassador dei programmi dell’ è lieta di invitarvi a portare le vostre abilità e competenze al 4° CASSINI Hackathon a presso la sede di dal 4 al 6 novembre.    🎯 L’Hackathon è organizzato dalla in contemporanea con altre 10 differenti località , con l’obiettivo di riunire giovani talenti, programmatori, imprenditori, studenti, ricercatori e lavoratori per organizzazioni non profit, in un ambiente ideale a favorire l’uso delle tecnologie spaziali e dei dati satellitari per lo sviluppo di nuove applicazioni e servizi. A vostra disposizione avrete il supporto di un grande team di , del settore ed esperti tecnici. Vieni a scoprirli 👉                  ","2,065 followers"
"Una sfida durata 24H, una sola parola d'ordine: innovazione 💡    Dal 27 al 28 maggio abbiamo ospitato nei nostri Headquarters l'Hackathon 2022, in cui studenti universitari di diverse facoltà si sono sfidati per sviluppare le migliori soluzioni digitali utili a ottimizzare le performance dei processi di cucina. 🔥    👏Complimenti ai vincitori , e dell' .","28,193 followers"
Ultime ore di preparativi per i 4 gruppi prima di iniziare le presentazioni davanti alla giuria di #SheHacks con Paolo Gubitta Tommaso Dall'Acqua Giulia Mastropirro Elisabetta Delponte Annalisa Di Maso Fausto Panizzolo.    Check-up Corner delle idee con i formatori e per ottimizzare public speaking e presentazione efficace del lavoro svolto.    Chi sarà il team vincitore? 🤓🌟💰,"Strategic marketer, business coach"
"Sabe aquelas experiências que transformam?    Tive a honra de participar do Hackathon Tech Recruiter People da Bluesoft nos dias 08 e 09 de abril. Foram 24 horas intensas (sem dormir) de desenvolvimento de projeto e uma série de palestras sobre empreendedorismo, marketing e negócios    Nosso desafio era desenvolver uma ideia inovadora que fomentasse os processos de gestão de pessoas no qual nosso time com muita maestria conseguiu entregar um projeto que dentre as 21 equipes participantes, conquistou o segundo lugar.    Deixo aqui registrado um agradecimento ao meu time, as mentoras e que fizeram toda diferença no nosso desenvolvimento e também aos organizadores e patrocinadores do evento.    , , , , , , , , , , , , , , ,",CREATOR - Marketing | Redes Sociais | Trafego Pago e Ads
"💫#Day2 del 3rd #CASSINIHackathon (Re)Visit Europe 🚀🛰️ 🌍    Resilienza, sostenibilità e digitalizzazione sono i temi centrali del #hackathon “The 3rd CASSINI Hackathon: (Re)Visit Europe”, che ruota intorno alla volontà dell’Unione europea e dei governi nazionali di rivitalizzare il turismo con un approccio climate-friendly e con l'utilizzo dei dati e delle tecnologie spaziali.","IT Specialist, Founder & President of MindSharing.tech"
"Oggi, venerdì 27 maggio 2022, ho partecipato e avuto la fortuna di essere scelta e premiata al primo DA Hackathon organizzato dal DIETI, in collaborazione con il Project Management Institute e Agile Campania Agile Campania, nonchè l'immenso onore di poter incontrare veri professionisti che lavorano nel campo dell'Agile da quasi 20 anni.    Attraverso il PMI Disciplined Agile Business Game di oggi, abbiamo potuto mettere in pratica chiavi fondamentali per conoscere ed utilizzare l'Agile: definire e incrementare la WoW, utilizzare il tool raDAr, costruire dei veri Disciplined Agile Process Goal Diagrams per costruire una Company New Business Strategy, facilitando i processi di leading and decision marking, focalizzandosi sulla formazione e benessere psicologico del team.  La metodologia Agile traduce a pieno il mio mindset e come interpreto i miei obiettivi ogni giorno ( Adapt, Evolve e Respond): negli ultimi anni, infatti, ho cambiato totalmente ambito, adattandomi al mondo in continua evoluzione, ho stravolto la mia mission per rispondere alle challenge del futuro, abbracciando orgogliosamente nuove discipline STEM.    E' per questa ragione che sono ancora più emozionata di essere stata l'unica donna, tra oltre settanta ingegneri partecipanti oggi, a vincere questo primo Hackathon e aver potuto rappresentare non solo la che mi ha formata e supportata, ma anche tutte le donne appassionate che arricchiscono il mondo delle STEM.    A prescindere dai premi che porterò a casa oggi, ciò che davvero conserverò per sempre è la possibilità di aver incontrato, essere ispirata e ricevuto consigli preziosi da mentori eccezionali come ad esempio , , , , , , e tanti altri.  Un grazie speciale alla prof. , che mi ha dato la possibilità di partecipare a questo importante evento e che ha realizzato una collaborazione di successo tra il Dipartimento di Ingegneria Elettrica e delle Tecnologie dell'Informazione (DIETI), il Project Management Institute (PMI), associazione internazionale leader nel campo del Project Management, e Xebir, società che si occupa di trasformazione Agile, dando la possibilità di ricevere un riconoscimento ufficiale delle competenze acquisite nell'ambito delle metodologie Agili e Lean con certificazione di DAMS.",Agile PM at NetcomGroup | Product Owner for Stellantis | former PMO at Deloitte Consulting | Digita Academy: Digital Transformation and Technological Innovation: Industry 4.0
"Ultimamente estive sumido, mas foi por uma razão muito especial: Estava finalizando a construção do meu novo #setup !  E quero contar um pouco dessa #conquista (e passar umas dicas para os novatos).    Na 1@ imagem, está a máquina onde comecei minha jornada: o DELLzinho (4GB de RAM, HD de 480GB, Processador Core i5 descontinuado, sem placa de vídeo) - foi com isso, onde comecei a em 2019. Ah, e naquela epoca eu tinha pouco !    Na 2@ imagem, está o setup atual: Monitor DELL P2227H, Lenovo IdeaPad S145 (com uma boa configuração), Teclado T-Dagger Bora, Mouse T-Dagger, HeadSet Fortrek G, Caixa JBL GO 3 (e o celular que uso é um Xiaomi Redmi Note 8). Só que, cada item que listei, nesse parágrafo, foi pago com o meu próprio dinheiro (e sim, hoje em dia eu tenho dinheiro! 🙏).    Só que, nesse intervalo de 3 anos, aconteceram muitas coisas que eu não esperava que me levariam até aqui, e aqui vai algumas:    1 - Minha equipe ficou em 2° lugar em um (o que me gerou um bom dinheiro de inicio).  2 - Sai da Eng. Elétrica na UEA para me dedicar integralmente a (e essa decisão, deve ter sido a mais importante, pois desisti da minha 1@ graduação com 18 anos).  3 - O IFAM abriu um PSS a parte (aceitando notas de ENEMs anteriores). E foi com isso que retornei a vida acadêmica.  4 - O me deu um espaço para ser (foram 6 meses acumulando bolsas para fazer esse setup) - e tive que fazer meu melhor para passar em alguns cursos (os 2 cursos de ! 😂🤣)    Beleza Carlitos, tu conquistou isso tudo, mas, e aí?! Quais os conselhos que tu podes me passar? Aqui vão alguns:    1. Vai ter momentos onde, você terá que fazer escolhas indesejáveis.  2. Vai ter momentos, que se a sorte sorrir pra você, a sua história pode mudar completamente (comigo foi o HackaThon e a aprovação no IFAM), então, esteja preparado para as oportunidades!  3. Estude, e estude muito!! Graças aos 2 anos de estudo prévio, minha vida no IFAM foi um pouco tranquila.  4. (Vai dar desânimo? Claro!); (Vai dar vontade de Desistir? Sim, e muito!!); (Vai ter moleza? Nenhum pouco!); Mas ... vale a pena o esforço e a dedicação? Sim, com toda a certeza!! ✌️    Dicas:    1. Quer se encontrar no universo da Programação? Pesquise qualquer área no Google, e pegue quanta informação quiser! Meta a cara! Participe de eventos, palestras, maratonas, cursos on-line; se exponha basicamente!  2. O Guanabara é um heroi para os iniciantes! Procure por ""Curso em Vídeo"" no YT.  3. Aprenda o quanto antes! Por 2 razões bem simples: (1)facilitará em muito seus ; (2)cedo ou tarde, você pode para uma gringa (e eu já recebi uma proposta dessas, mas não tinha como eu concorrer).    Acho que é isso! Me alonguei, mas falei o que queria falar. Bons estudos aí rapaziada! 🖖🤓",FlaNexMon Developer | Full Stack Developer | Software Enginner |
"“Progettiamo insieme una Sardegna Sostenibile.”    ♻️ È questo il nome del nome del nuovo progetto targato #Rumundu il cui obiettivo è quello proporre una visione di da una prospettiva diversa: i giovani!    👉 In particolare, grazie alla collaborazione di 12 istituti scolastici - in risposta al bando per iniziative a favore del sistema scolastico per l’anno 2021/2022 della Fondazione di Sardegna - coinvolgeremo circa 300 studenti provenienti da diverse aree dell’isola: da Cagliari ad Olbia passando per Sassari, Nuoro, Oristano e tanti altri centri nevralgici.    🌈 Il progetto “Progettiamo insieme una Sardegna Sostenibile”, dopo una fase preparatoria, prevede un evento pubblico e un Hackathon per la definizione di una strategia capace di mettere al centro i giovani. I team di lavoro verranno seguiti da un gruppo di professionisti di settore ed esperti dell’agenzia delle Nazioni Unite. Il miglior progetto vincerà un viaggio-studio in una delle capitali europee dell’innovazione. 🗺    A brevissimo maggiori informazioni!    🌍 Iscriviti alla newsletter per restare sempre informat* su tutte le novità, i progetti e le school targate :    Tks to e .",635 followers
"HH Sheikh Hamdan Bin Mohammed Bin Rashid Al Maktoum Mon 10-10-2022 19:26 PM    Maktoum bin Mohammed opens GITEX GLOBAL 2022 - the world’s largest tech show. DUBAI, 10th October, 2022 (WAM) -- H.H. Sheikh Maktoum bin Mohammed bin Rashid Al Maktoum, Deputy Ruler of Dubai, Deputy Prime Minister and Minister of Finance, today officially opened GITEX GLOBAL 2022, the world’s largest technology show at the Dubai World Trade Centre (DWTC).      H.H. Sheikh Maktoum bin Mohammed said, “The record global participation in the 42nd edition of the event reflects Dubai’s profile as a hub for innovation, knowledge sharing, enterprise and networking in the international technology industry, a position it has built through focused investments over the last few decades. Dubai’s leadership recognised very early that technological advancement will determine leadership and competitiveness in the future. Aligned with this vision, Dubai developed a technological infrastructure that rivals the best in the world and built strong partnerships with companies at the forefront of innovation in the sector to catalyse development.”    “The largest-ever GITEX GLOBAL signifies Dubai’s position at the forefront of ushering in a new wave of innovation and value creation in the sector. This year’s edition features a vast diversity of expertise, which represents not only the global industry’s current dynamism but also its future potential. The strong response the event has drawn from the international technology community also points to Dubai’s emergence as a city that is vital to shaping the future of the industry,” His Highness added.    GITEX GLOBAL will explore every facet of the digital through seven experience ecosystems — North Star Dubai - bringing together a record 1,000 start-ups with 600 investors - Fintech Surge, Ai Everything, Future Blockchain Summit, Marketing Mania and two new event platforms, Global DevSlam and X-VERSE. GITEX GLOBAL 2022 features some of the world’s most innovative tech giants including Microsoft, IBM, Dell Technologies, Ericsson, Avaya, Honeywell, Hewlett Packard Enterprise, e&, Lenovo, Cisco and Huawei, GITEX GLOBAL’s Diamond Sponsor. Among the UAE companies looking to fast-track their digital initiatives are Emirates NBD and telecom giant e&.    GITEX provides 250 government entities with a showcase for their latest public-private partnerships and digital projects, including Dubai Electricity and Water Authority (DEWA), Roads and Transport Authority (RTA), Dubai Police, Abu Dhabi Digital Authority and Digital Dubai.    X-VERSE, sponsored by TMRW Foundation in collaboration with Decentraland, is the world’s largest curated Web3.0 immersive experience that brings the virtual world to the physical with 28 exciting world premieres. The sold-out Global DevSlam will host the biggest international meet-up for the developer community featuring the world’s largest Python conference – PyCon MEA – hackathons and certified coding workshops.",Chief Executive Officer of Fazza logistic company
Nog iets meer dan een week tot Hacking Health Utrecht van start gaat!🚀 Dankzij de steun van onze partners kunnen alle Oplossers en Uitdagers hun ideeën ontwikkelen tot innovatieve oplossingen. Dit zijn de partners die Hacking Health Utrecht 2022 mogelijk maken:        Aanmelden kan nog steeds via:,591 followers
"Si avvia alla conclusione la prima edizione del corso Master in Sviluppo Sostenibile e Cambiamento Climatico dell’Università di Pisa. Oltre 110 i docenti impegnati, la maggior parte proveniente da dodici Dipartimenti dell'Università di Pisa, ma non sono mancate qualificate testimonianze aziendali e istituzionali, anche di respiro internazionale, così come lezioni tenute da accademici provenienti da altri atenei. Tra i vari soggetti che hanno patrocinato l'iniziativa, il , diversi ordini professionali e vari partner del mondo del lavoro e delle istituzioni che hanno offerto ospitalità per stage, docenza e borse di studio.",Digital & HR Transformation | Data Scientist | Project Management | Sustainability & Circular Economy | Tour Leader | AIDP member | PM-Prince2®| ITIL®
"Dell Panamá como patrocinador y el grupo Eurus UTP como organizadores estamos felices de anunciarte que hemos comenzado el proceso de inscripciones para La Hackathon 2021.    Se estarán brindando capacitaciones previas al evento en los temas más importantes para el desarrollo de la solución, de esta manera se reforzarán los conceptos que los participantes puedan necesitar.    Con el fin de incentivar una participación equitativa entre mujeres y hombres, te motivamos a que tomes en consideración elaborar grupos mixtos de 4 personas entre mujeres y hombres.    ¿Que estas esperando para inscribirte? El formulario se encuentra en nuestra biografía, inscríbete y se parte de esta gran experiencia.",158 followers
"It's official! The #WorldInnovationDay Hack is back from 29 April - 3 May. This hackathon is dedicated to encourage people to form teams and use their skills in generating new ideas for the United Nations Development Goals.    is proud to be joining in this years epic competition.    🌏 Last year, over 4,000 people competed from over 200 universities in 70 countries to showcase their skills, win awesome prizes and certifications alongside the UNESCO and the UNEP. This year is your chance to:    🌐 Score an exclusive certificate 🌐 Get visibility with UN bodies and global brands like Oracle, Google, IBM and Meta 🌐 Build your portfolio and make your CV shine 🌐 Meet other amazing mentors and participants all over the world    To register and find out information about the competition:        thanks to our partners and and team for pulling this together as well as the support from our Aus DeFi community  and many more",Co-Founder @ Australian DeFi Association | NotCentralised | OpenInsight
"Nella suggestiva cornice del Castello Sforzesco abbiamo preso parte ad HackHer, la più importante rassegna italiana sul gender gap tecnologico.  100 studentesse delle scuole superiori si sono messe in gioco in un  progettando e sviluppando nuove idee e nuovi modi di lavorare davanti a una giuria di , tra cui la nostra Chief Technology & Innovation Officer , che ha portato la testimonianza del suo percorso personale.        ","118,517 followers"
