,Post
107,"I am extremely grateful to have emerged as finalists of NTU IdeasJam 2022 by Garage@EEE. Over the course of the hackathon, we explored Green Technology solutions and environmental sustainability, in accordance with the Singapore Green Plan 2030. Along with my amazing teammates from ChangeX, Vinay Krishnaa, Aditya Selvam, Phumrapee Pisutsin and Ye Xin, we developed a technical solution to tackle the issue of increasing carbon emissions.

It was an honour to generate ideas for a modern problem as paramount as this and pitch our prototype to a panel of industry professionals. Special thanks to our mentors Janani Chandran and Jamil Khan for their invaluable input and industry insights as you really inspired us to take our product to the next level. A massive shoutout to our previous mentors from Versent, Thomas F., Han Ken Fong and Ough Chee Keong, whose advice was key in helping us to get the ball rolling. 

Overall, this has been a wonderful opportunity and I am excited for what the future holds for us."
108,"I’m happy to share that I’m starting a new position as a Technology Analyst at Goldman Sachs after completing a Bachelors of Mechanical Engineering with Honors (Highest Distinction), along with a Minor in Business at Nanyang Technological University Singapore ! 

My time at NTU has been tremendously fruitful where I’ve had a multitude of learning experiences such as internships, hackathons, research projects and have been placed on the Dean’s list for the years 2019-20, 2020-21, and 2021-22. 

Now, I’m excited for this new chapter at Goldman Sachs and further developing my skills in this role !

#goldmansachs #analyst #finance #technology #makethingspossible"
109,"We're GeekOut 2022 Hackathon Champions! Great job from all of us, really honored to have won. HUGE thank you to GovTech Singapore for organizing the wonderful event!

Couldn't have done it without our amazing mentor Damien Sim

Teammate tag: Rishi Krishnan"
110,"Attended the HEINEKEN Metaverse week. It was informative, engaging and ended with a Hackathon filled with amazing energy and pitches.

Thank you for having us Dr. Ralph Ostertag Shridhar Mahesh and thank you Asia Pacific Breweries Singapore (Part of The HEINEKEN Company) for the opportunity!"
111,"Had a blast sharing my career journey, why I chose Microsoft and #womenintechnology with 14 years-olds at #DigiGirlz2021 today with my co-mentor Luka Debeljak

DigiGirlz is a Microsoft initiative aiming to give school girls a better understanding of what a career in technology is like with a hands-on opportunity to experience the prototype development process & connect with Microsoft employees.
This year, virtual teams of Secondary school girls competed in a hackathon using Minecraft Education Edition! 
The problem statement: How can we promote better awareness of #Wellbeing in Singapore's youth?

The future is bright with these kids. Feeling energised and #proud"
112,"Last weekend, I took a small leap of courage to pitch Lovespan to National Youth Council Singapore.

It was my first time ever pitching an idea for funding $$$. Before that, I’ve only ever pitched to hackathon judges 😂. It was a new experience and honestly, a little out of my comfort zone.

Days leading up to the pitch, I prepared my deck and practiced my presentation. I asked samantha see to watch me present. I even picked out a shirt that complemented my pitch deck colour palette.

I felt a little nervous as I joined the Zoom meeting for the pitch. But that feeling quickly went away thanks to the warmth and friendliness of the YoungChangeMaker curators (the people I was pitching to).

It's clear that their goal is not to criticise ideas, but rather, understand them and figure out how to help them succeed. The diverse backgrounds of the curators also helped me gain new perspectives on my project. Especially so during the Q&A session, where I was asked questions I never even thought about!

Shoutout to Nicolette Tan and the other curators for the feedback and resources shared. It was also really cool to discover other projects like Underground Cartoons (an animation festival!) and Inter-University Environmental Coalition (IUEC).

It’s now been a week since the pitch. I’m delighted to share Lovespan was approved for the YoungChangeMakers grant 🎉 There’s still a lot of uncertainty, and a bunch of assumptions to be validated. But I’m excited to see where this project goes!"
113,"5 years after first judging a #sgfintechfest hackathon, it sure feels good to be on the other (winning) side!"
114,"And the first Hackathon of ‘Girls In Tech’ (a society of girls studying STEM in Polytechnics in Singapore) kicked off today.

vLookUp is very proud to be the mentoring partner for this event. Our great mentors joined on the ground today and are already brainstorming with participating groups.

Looking forward to the creative solutions to problem statements from this amazing group of girls.

NCS Group Krystal Lim Lance Foo Lea-Eng Cheong Anne LEHMAN Wynthia Goh

Dear Mentors : Thank you!

Vijay Nayudu Andrew Tay Sonal Bengani Manish Mahajan Yuxuan T. Claris Z. Roopa M. Payal Yadav Judy Tan Adeline Ang Hao Li Kean Seng Tan Jin Lee

#tech #creative #mentoring"
115,"Last week, I took part in my first ever hackathon, the SMU Legal Innovation and Technology (LIT) Hackathon 2022 together with Zhiyi Hao, Eugene Yan, Douglas Toh, Chen Tianyu and Yeo Zhi Wei. As a result of the collective effort of all my group members, we emerged as Top 8 Finalists and was awarded the Norton Rose Fulbright The Big Leap Forward Award!

The problem statement we picked was 'How can different data processing regulations across the region be compared efficiently and effectively?' under the theme of Data Privacy and Cybersecurity.

Our solution allows users to compare the different data privacy regulations across different countries. At the same time, we integrated an AI Chatbot which allows users to ask questions and be given answers. We spent about 2 weeks coming up with ideas and eventually creating a React web application. You can check it out here: https://lnkd.in/dV2e5Cc4

A big thank you to the organisers, sponsors, industry experts and fellow participants for an enjoyable and insightful hackathon. I am looking forward to more hackathons and also having more hands-on experience in the digitalisation of the legal industry in Singapore.

#hackathon #legaltech #data #legalinnovation #legal #technology"
116,"As the summer break draws to a close, I want to take the chance to reflect on what has been a rewarding and exciting three months:

In May, my teammates (Michael, Justin, Khair, Timothy) and I were stoked to have won the Goldman Sachs Engineering Engage (GS ENGage) Hackathon in the Customizable Report Rendering category. Thank you to Goldman Sachs Engineering Singapore for this great opportunity and all the helpful feedback!

Furthermore, after 12 weeks, Tuesday marked the end of my internship at Fisher & Paykel Appliances. It has been enlightening working at FPA and I am grateful for having had this wonderful learning experience.

I'd like to express my gratitude to my team and colleagues as the work I have done would not have been possible without all your support and guidance. It has been a great pleasure to meet and work alongside so many amazing people!

12 weeks has flown by too quickly, however, all good things must come to an end. I am incredibly excited for the coming semester and what lays for me ahead!"
117,"After attending a gruelling 4 day hackathon with my amazing team mates Peh Wee Din (Nathan) Jie Sheng Chong Sze Kee Tew @tan hui xian gave it our best and emerged as semi-finalist in the recent Deep Learning Week hosted within Nanyang Technological University Singapore.

Our solution focused on using Machine Learning models to help deter and prevent phishing attacks from malicious URLs and QR codes AKA ""Quishing"". This issue is getting more prevalent as Singaporeans in general have placed blind faith in scanning QR codes and clicking on links to help facilitate SafeEntry access to malls. As a result, there has been a 94% increase in Phishing and Quishing attacks in the first half of 2022 as compared to the previous year.

As a junior developer, this hackathon has taught me valuable lessons in developing and deploying ML models with different members and how large organisations handle the task of training and developing models across different teams. I've also learnt that the best learning for programming comes from outside the class room where you get to work on real data and industry-related deployment projects.

This experience has been an eye-opening one for me and I've definitely realised that I've a long way to go and to always be at the forefront of emerging tech stacks and new technologies."
118,"To promote Singapore and the region's cybersecurity tools and development culture, Division Zero (Div0) launched our flagship hackathon — HackSmith — in 2017. Since then, the region has seen more and more outstanding tools developed at HackSmith that had gone on to be showcased at international stages e.g. Black Hat Arsenal.

As we prepare for the launch of the 5th edition of HackSmith later this year, we are also organising BEHIND THE HACK — A HackSmith Seminar + Workshop.

- LEARN about the global cybersecurity development scene
- INSPIRE your next cybersecurity development project
- IMPROVE your development/hacking skills

Join us this Saturday (15 January 2022), 10am-2pm, for the Seminar + Workshop, held via Zoom: https://lnkd.in/gqSTWGXH

Learn from our experts Sanoop Thomas, Rachid Harrando, Nabil Ouchn, Damian Goh, Bernard Lim, Andre Ng, Henry Lum, and Ho Wei Jing in this insightful session.

Stand a chance to win a Black Hat Asia 2022 #BHA2022 Briefings Pass (worth $1,600) by attending both the seminar and the workshop.

Thank you co-organisers and supporters: BlackHat and ICE71

#hacksmith #cybersecurity #infosec #development

cc Leon Kwek, Linda Nguyen Schindler, Lee Rui Xian ., Rayson Ng, Selwyn Scharnhorst, Eunice T."
119,"Early this week, I was granted an opportunity to participate in Citi HackOverflow 2022. This week-long hackathon was conducted virtually for four days and ended with an exciting physical event.

I am pleased to announce that out of the 24 teams that participated in the hackathon; our team achieved 2nd place in the competition.

Our team’s application, InvESG, aims to promote sustainable investing to new and mass affluent investors. This application would seek to understand a client’s inclination toward the three aspects of the ESG (Environmental, social, and corporate governance) framework and recommend listed companies that align with the client’s values.

Many thanks to my teammates for all the late-night discussions and acting as each other’s rubber ducky.
Brayden Leo
Joel Seah
Varunesh Balamuniappan
Rohan M.

Finally, I would like to thank Citi for organizing this hackathon. It was enlightening to learn about the impacts and working culture of Citibank Singapore. It also was heartwarming to receive encouragement and positive suggestion from all the staff before and during our presentation.

#CitiHackOverflow #citi #tech #wealthmanagement"
120,At #microsoft #hackathon #MicrosoftHackathon #Singapore
121,"Despite Code For Cities Hackathon 2022 having ended 2 weeks ago, the experience has been unforgettable. As a student taking Smart-City Management and Technology major, this hackathon was an amazing opportunity for me to gain more insights and expose myself to the problems faced within Smart Cities.

The theme for the Code For Cities this year is “Quantum Computing in Smart Cities”, focusing on how quantum computing can be used to solve problems faced in the various aspects of a Smart City. Our team decided to focus on Singapore's mobility aspect. We created an algorithm that involves Quantum Annealing to improve on Singapore’s Green Light Determining System to improve Time Efficiency when travelling, and eliminate social consequences like Air and Noise Pollution.

“Tell me and I forget, teach me and I may remember, involve me and I learn.”

Despite the steep learning curve as none of us had any prior knowledge about Quantum Computing, I am proud to share that my team, Five Guys, managed to get 1st place out of 28 teams.

I am thrilled that I managed to share my first Hackathon experience with my good friends - Alison How | Joel Tan | Keith Law | De Han Chia. A big thank you SMU Smart City Society, IBM, IMDA, Centre for Quantum Technologies for organizing Code For Cities Hackathon 2022.

This learning opportunity has fueled my burning passion to continue striving for the endless opportunities within and for a Smart City like Singapore. I cannot wait to see what the future holds for all of us!"
122,"My team Ho Rui En, Kellie Sim, Dan Lee Wai Shun, Joel Tay and I had the honour of presenting our idea, Guided Wealth, at Citi Singapore Changi Office yesterday as part of #CitiHackOverflow 2022.

I am proud to share that we won 3rd place! Having to juggle our projects and this hackathon on the second last week of the term was definitely not easy, however, it was a fulfilling experience throughout the week.

""When your one week hackathon prototype looks more legit than a one term project""

Thank you to Vivien Chia, Ying Xuan Verlyn Yeo, Chong Chin Hong, Dionetta Young, Jia Yi Ng and team for organising this hackathon!"
123,"Participated in my first data science hackathon and so glad to achieve First runner up in the CARRO x Amazon Web Services (AWS) Hackathon!🎉

This wouldn’t been possible without team effort ! Shout out to my awesome Team Pavlovian Isaac Ibrahim Wilbur Lua Kennard Ko Peikai Tan

Singapore Institute of Technology
University of Glasgow

#datascience #computerscience #opentowork #aws #carro"
